Virtual User Script started at: 21.12.2024 15:24:46	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (ноя 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\Anastasia\AppData\Local\Temp\lr5tmpdircUq.474\lrcfgfBB.488\cfgCje.535"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action uc_04_ticket_search_not_paid.	[MsgId: MMSG-15919]
uc_04_ticket_search_not_paid.c(3): Notify: Transaction "uc_04_ticket_search_not_paid" started.	[MsgId: MMSG-16999]
uc_04_ticket_search_not_paid.c(5): Notify: Transaction "open_start_page" started.	[MsgId: MMSG-16999]
uc_04_ticket_search_not_paid.c(7): web_add_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
uc_04_ticket_search_not_paid.c(7): web_add_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
uc_04_ticket_search_not_paid.c(10): web_add_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
uc_04_ticket_search_not_paid.c(10): web_add_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
uc_04_ticket_search_not_paid.c(13): web_add_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
uc_04_ticket_search_not_paid.c(13): web_add_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
uc_04_ticket_search_not_paid.c(16): web_add_header("Sec-Fetch-User") started  	[MsgId: MMSG-26355]
uc_04_ticket_search_not_paid.c(16): web_add_header("Sec-Fetch-User") was successful  	[MsgId: MMSG-26392]
uc_04_ticket_search_not_paid.c(19): web_add_auto_header("Upgrade-Insecure-Requests") started  	[MsgId: MMSG-26355]
uc_04_ticket_search_not_paid.c(19): web_add_auto_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
